mode,clock,workbook,power_net,timing,delay_ns,measured_margin_ns,simulated_margin_ns,diff_sim_minus_measured_ns,wrapped_diff_sim_minus_measured_ns
シリアル,PL_DCDC_CLK4,設定ファイル/シリアル_48us/シリアル_48us_CLK4.xlsx,1.8V_DIG,CDS1↓ to SW↑,24.0,114,109.7,-4.3,-4.3
シリアル,PL_DCDC_CLK4,設定ファイル/シリアル_48us/シリアル_48us_CLK4.xlsx,1.8V_DIG,CDS1↓ to SW↓,24.0,-202,-206.14,-4.14,-4.14
シリアル,PL_DCDC_CLK4,設定ファイル/シリアル_48us/シリアル_48us_CLK4.xlsx,1.8V_DIG,CDS2↓ to SW↑,24.0,-87,-90.3,-3.3,-3.3
シリアル,PL_DCDC_CLK4,設定ファイル/シリアル_48us/シリアル_48us_CLK4.xlsx,1.8V_DIG,CDS2↓ to SW↓,24.0,77,73.86,-3.14,-3.14
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,5.5V_CHG,CDS1↓ to SW↑,170.0,-110,-115.7,-5.7,-5.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,5.5V_CHG,CDS1↓ to SW↓,170.0,238,232.3,-5.7,-5.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,5.5V_CHG,CDS2↓ to SW↑,170.0,171,164.3,-6.7,-6.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,5.5V_CHG,CDS2↓ to SW↓,170.0,39,32.3,-6.7,-6.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_1,CDS1↓ to SW↑,130.0,-150,-155.7,-5.7,-5.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_1,CDS1↓ to SW↓,130.0,237,231.18,-5.82,-5.82
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_1,CDS2↓ to SW↑,130.0,130,124.3,-5.7,-5.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_1,CDS2↓ to SW↓,130.0,37,31.18,-5.82,-5.82
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_2,CDS1↓ to SW↑,138.0,-145,-147.7,-2.7,-2.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_2,CDS1↓ to SW↓,138.0,239,236.3,-2.7,-2.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_2,CDS2↓ to SW↑,138.0,135,132.3,-2.7,-2.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_2,CDS2↓ to SW↓,138.0,39,36.3,-2.7,-2.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_3,CDS1↓ to SW↑,142.0,-139,-143.7,-4.7,-4.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_3,CDS1↓ to SW↓,142.0,236,231.18,-4.82,-4.82
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_3,CDS2↓ to SW↑,142.0,142,136.3,-5.7,-5.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,D5V_3,CDS2↓ to SW↓,142.0,36,31.18,-4.82,-4.82
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A6V,CDS1↓ to SW↑,186.0,-96,-99.7,-3.7,-3.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A6V,CDS1↓ to SW↓,186.0,-237,239.18,476.18,-3.82
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A6V,CDS2↓ to SW↑,186.0,182,180.3,-1.7,-1.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A6V,CDS2↓ to SW↓,186.0,41,39.18,-1.82,-1.82
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A3V,CDS1↓ to SW↑,62.0,-226,-223.7,2.3,2.3
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A3V,CDS1↓ to SW↓,62.0,145,147.34,2.34,2.34
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A3V,CDS2↓ to SW↑,62.0,52,56.3,4.3,4.3
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A3V,CDS2↓ to SW↓,62.0,-57,-52.66,4.34,4.34
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,M15V,CDS1↓ to SW↑,330.0,163,44.3,-118.7,-118.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,M15V,CDS1↓ to SW↓,330.0,-177,184.46,361.46,-118.54
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,M15V,CDS2↓ to SW↑,330.0,-39,-155.7,-116.7,-116.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,M15V,CDS2↓ to SW↓,330.0,103,-15.54,-118.54,-118.54
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A20V,CDS1↓ to SW↑,306.0,24,20.3,-3.7,-3.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A20V,CDS1↓ to SW↓,306.0,125,121.1,-3.9,-3.9
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A20V,CDS2↓ to SW↑,306.0,-179,-179.7,-0.7,-0.7
シリアル,PL_DCDC_CLK5,設定ファイル/シリアル_48us/シリアル_48us_CLK5.xlsx,A20V,CDS2↓ to SW↓,306.0,-84,-78.9,5.1,5.1
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,3.3V_DIG,CDS1↓ to SW↑,44.0,-189,-196.0,-7.0,-7.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,3.3V_DIG,CDS1↓ to SW↓,44.0,109,103.04,-5.96,-5.96
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,3.3V_DIG,CDS2↓ to SW↑,44.0,-109,-116.0,-7.0,-7.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,3.3V_DIG,CDS2↓ to SW↓,44.0,190,183.04,-6.96,-6.96
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,R2.5V_AMP,CDS1↓ to SW↑,30.0,-202,-210.0,-8.0,-8.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,R2.5V_AMP,CDS1↓ to SW↓,30.0,160,150.0,-10.0,-10.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,R2.5V_AMP,CDS2↓ to SW↑,30.0,-122,-130.0,-8.0,-8.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,R2.5V_AMP,CDS2↓ to SW↓,30.0,-236,230.0,466.0,-14.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,0.85V_PS,CDS1↓ to SW↑,24.0,-211,-216.0,-5.0,-5.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,0.85V_PS,CDS1↓ to SW↓,24.0,-82,-137.76,-55.76,-55.76
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,0.85V_PS,CDS2↓ to SW↑,24.0,-130,-136.0,-6.0,-6.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,0.85V_PS,CDS2↓ to SW↓,24.0,-57,-57.76,-0.76,-0.76
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,0.85V_PL,CDS1↓ to SW↑,274.0,42,34.0,-8.0,-8.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,0.85V_PL,CDS1↓ to SW↓,274.0,119,110.8,-8.2,-8.2
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,0.85V_PL,CDS2↓ to SW↑,274.0,122,114.0,-8.0,-8.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,0.85V_PL,CDS2↓ to SW↓,274.0,198,190.8,-7.2,-7.2
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,1.1V_DDRIO,CDS1↓ to SW↑,24.0,-211,-216.0,-5.0,-5.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,1.1V_DDRIO,CDS1↓ to SW↓,24.0,-113,-115.2,-2.2,-2.2
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,1.1V_DDRIO,CDS2↓ to SW↑,24.0,-131,-136.0,-5.0,-5.0
静止画,PL_DCDC_CLK1,設定ファイル/静止画_60us/静止画_60us_CLK1.xlsx,1.1V_DDRIO,CDS2↓ to SW↓,24.0,-32,-35.2,-3.2,-3.2
静止画,PL_DCDC_CLK2,設定ファイル/静止画_60us/静止画_60us_CLK2.xlsx,3.3V_WLAN,CDS1↓ to SW↑,24.0,-192,-198.9,-6.9,-6.9
静止画,PL_DCDC_CLK2,設定ファイル/静止画_60us/静止画_60us_CLK2.xlsx,3.3V_WLAN,CDS1↓ to SW↓,24.0,107,101.1,-5.9,-5.9
静止画,PL_DCDC_CLK2,設定ファイル/静止画_60us/静止画_60us_CLK2.xlsx,3.3V_WLAN,CDS2↓ to SW↑,24.0,-112,-118.9,-6.9,-6.9
静止画,PL_DCDC_CLK2,設定ファイル/静止画_60us/静止画_60us_CLK2.xlsx,3.3V_WLAN,CDS2↓ to SW↓,24.0,186,181.1,-4.9,-4.9
静止画,PL_DCDC_CLK3,設定ファイル/静止画_60us/静止画_60us_CLK3.xlsx,4.3V_CHG,CDS1↓ to SW↑,42.0,-128,-135.1,-7.1,-7.1
静止画,PL_DCDC_CLK3,設定ファイル/静止画_60us/静止画_60us_CLK3.xlsx,4.3V_CHG,CDS1↓ to SW↓,42.0,47,40.1,-6.9,-6.9
静止画,PL_DCDC_CLK3,設定ファイル/静止画_60us/静止画_60us_CLK3.xlsx,4.3V_CHG,CDS2↓ to SW↑,42.0,-51,-55.1,-4.1,-4.1
静止画,PL_DCDC_CLK3,設定ファイル/静止画_60us/静止画_60us_CLK3.xlsx,4.3V_CHG,CDS2↓ to SW↓,42.0,124,120.1,-3.9,-3.9
静止画,PL_DCDC_CLK4,設定ファイル/静止画_60us/静止画_60us_CLK4.xlsx,1.8V_DIG,CDS1↓ to SW↑,24.0,-212,-216.0,-4.0,-4.0
静止画,PL_DCDC_CLK4,設定ファイル/静止画_60us/静止画_60us_CLK4.xlsx,1.8V_DIG,CDS1↓ to SW↓,24.0,-47,-51.84,-4.84,-4.84
静止画,PL_DCDC_CLK4,設定ファイル/静止画_60us/静止画_60us_CLK4.xlsx,1.8V_DIG,CDS2↓ to SW↑,24.0,-131,-136.0,-5.0,-5.0
静止画,PL_DCDC_CLK4,設定ファイル/静止画_60us/静止画_60us_CLK4.xlsx,1.8V_DIG,CDS2↓ to SW↓,24.0,29,28.16,-0.84,-0.84
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,5.5V_CHG,CDS1↓ to SW↑,170.0,90,84.3,-5.7,-5.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,5.5V_CHG,CDS1↓ to SW↓,170.0,-42,-47.7,-5.7,-5.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,5.5V_CHG,CDS2↓ to SW↑,170.0,170,164.3,-5.7,-5.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,5.5V_CHG,CDS2↓ to SW↓,170.0,38,32.3,-5.7,-5.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_1,CDS1↓ to SW↑,130.0,50,44.3,-5.7,-5.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_1,CDS1↓ to SW↓,130.0,-43,-48.82,-5.82,-5.82
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_1,CDS2↓ to SW↑,130.0,131,124.3,-6.7,-6.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_1,CDS2↓ to SW↓,130.0,37,31.18,-5.82,-5.82
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_2,CDS1↓ to SW↑,138.0,55,52.3,-2.7,-2.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_2,CDS1↓ to SW↓,138.0,-41,-43.7,-2.7,-2.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_2,CDS2↓ to SW↑,138.0,135,132.3,-2.7,-2.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_2,CDS2↓ to SW↓,138.0,39,36.3,-2.7,-2.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_3,CDS1↓ to SW↑,142.0,61,56.3,-4.7,-4.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_3,CDS1↓ to SW↓,142.0,-44,-48.82,-4.82,-4.82
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_3,CDS2↓ to SW↑,142.0,142,136.3,-5.7,-5.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,D5V_3,CDS2↓ to SW↓,142.0,36,31.18,-4.82,-4.82
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A6V,CDS1↓ to SW↑,186.0,103,100.3,-2.7,-2.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A6V,CDS1↓ to SW↓,186.0,-37,-40.82,-3.82,-3.82
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A6V,CDS2↓ to SW↑,186.0,183,180.3,-2.7,-2.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A6V,CDS2↓ to SW↓,186.0,43,39.18,-3.82,-3.82
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A3V,CDS1↓ to SW↑,62.0,-26,-23.7,2.3,2.3
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A3V,CDS1↓ to SW↓,62.0,-136,-132.66,3.34,3.34
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A3V,CDS2↓ to SW↑,62.0,53,56.3,3.3,3.3
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A3V,CDS2↓ to SW↓,62.0,-55,-52.66,2.34,2.34
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,M15V,CDS1↓ to SW↑,330.0,-118,-235.7,-117.7,-117.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,M15V,CDS1↓ to SW↓,330.0,21,-95.54,-116.54,-116.54
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,M15V,CDS2↓ to SW↑,330.0,-40,-155.7,-115.7,-115.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,M15V,CDS2↓ to SW↓,330.0,100,-15.54,-115.54,-115.54
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A20V,CDS1↓ to SW↑,306.0,221,220.3,-0.7,-0.7
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A20V,CDS1↓ to SW↓,306.0,-161,-158.9,2.1,2.1
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A20V,CDS2↓ to SW↑,306.0,-180,-179.7,0.3,0.3
静止画,PL_DCDC_CLK5,設定ファイル/静止画_60us/静止画_60us_CLK5.xlsx,A20V,CDS2↓ to SW↓,306.0,-83,-78.9,4.1,4.1
